flip_idx,confirmed,bars_to_confirm
63890,True,8.0
63902,True,2.0
63909,True,1.0
63923,True,10.0
64030,False,
64159,True,6.0
64197,True,4.0
64205,True,1.0
64253,True,8.0
64323,False,
64404,True,8.0
64458,False,
64506,False,
64552,True,3.0
64635,False,
64684,False,
64696,True,9.0
64731,False,
64853,True,5.0
64917,True,3.0
64963,True,8.0
64993,True,12.0
65078,False,
65122,True,4.0
65178,False,
65186,False,
65205,True,5.0
65405,False,
65417,True,13.0
65596,False,
65701,True,18.0
65745,True,19.0
65775,True,7.0
65905,False,
65936,False,
66053,False,
66069,True,5.0
66190,False,
66238,True,1.0
66305,True,1.0
66377,True,1.0
66406,True,1.0
66446,True,2.0
66460,True,1.0
66578,True,20.0
66632,True,7.0
66656,True,2.0
66696,True,16.0
66808,True,7.0
66819,True,6.0
66843,False,
66896,True,2.0
67056,True,4.0
67115,True,4.0
67182,True,3.0
67209,True,1.0
67290,True,6.0
67339,True,8.0
67421,True,4.0
67459,False,
67462,False,
67528,False,
67570,True,13.0
67621,True,1.0
67768,True,15.0
67789,False,
67842,False,
67951,True,20.0
68026,True,4.0
68067,False,
68109,True,9.0
68138,True,16.0
68264,False,
68305,False,
68324,True,10.0
68348,True,10.0
68383,False,
68412,True,15.0
68419,True,8.0
68463,True,13.0
68503,False,
68705,True,11.0
68760,True,3.0
68786,True,1.0
68920,True,1.0
68982,True,9.0
69055,False,
69075,False,
69151,False,
69209,True,1.0
69257,True,10.0
69301,True,10.0
69394,True,1.0
69559,False,
69600,True,9.0
69626,True,1.0
69735,True,18.0
69838,True,2.0
69879,True,5.0
69957,False,
69977,True,16.0
69991,True,2.0
70036,True,15.0
70050,True,1.0
70134,True,15.0
70144,True,5.0
70222,True,7.0
70284,True,1.0
70313,True,1.0
70345,True,1.0
70422,True,4.0
70491,False,
70542,True,13.0
70622,False,
70817,False,
70846,False,
70966,True,20.0
71028,False,
71054,True,1.0
71060,True,7.0
71081,True,9.0
71156,False,
71176,True,5.0
71224,True,4.0
71267,True,2.0
71320,True,15.0
71332,True,3.0
71337,True,5.0
71400,True,10.0
71473,True,14.0
71542,True,3.0
71666,True,18.0
71753,False,
71886,False,
72004,True,12.0
72034,False,
72051,False,
72072,True,3.0
72168,False,
72302,False,
72306,False,
72461,True,15.0
72538,True,5.0
72573,False,
72590,False,
72748,True,4.0
72755,True,11.0
72807,True,16.0
72918,False,
73029,True,16.0
73052,True,2.0
73146,False,
73270,True,11.0
73345,False,
73459,False,
73649,True,2.0
73708,False,
73774,True,14.0
73962,True,10.0
73998,False,
74016,True,9.0
74033,True,19.0
74039,True,13.0
74114,True,3.0
74299,False,
74311,True,18.0
74324,True,5.0
74359,False,
74400,True,10.0
74546,False,
74691,False,
74760,True,2.0
74783,True,4.0
74796,True,4.0
74809,True,3.0
74858,True,2.0
74929,False,
75012,True,1.0
75203,True,3.0
75227,True,1.0
75260,True,11.0
75314,False,
75338,False,
75402,True,13.0
75455,True,16.0
75520,False,
75573,False,
75603,False,
75707,False,
75798,True,18.0
75806,True,10.0
76055,True,5.0
76069,True,18.0
76130,False,
76189,False,
76276,True,12.0
76307,True,6.0
76340,True,19.0
76444,True,19.0
76450,True,13.0
76526,False,
76591,True,11.0
76650,True,4.0
76753,True,3.0
76771,False,
76876,False,
76926,True,7.0
77003,False,
77100,True,5.0
77123,False,
77252,False,
77312,False,
77322,False,
77366,True,2.0
77395,True,12.0
77474,True,14.0
77512,True,15.0
77537,False,
77556,True,18.0
77657,True,7.0
77676,True,10.0
77760,False,
77851,True,19.0
77871,True,1.0
78001,False,
78082,True,1.0
78222,True,1.0
78290,True,9.0
78357,True,1.0
78421,False,
78573,False,
78672,True,17.0
78697,True,15.0
78748,True,6.0
78817,True,13.0
78930,False,
78973,True,17.0
79114,True,15.0
79143,False,
79154,False,
79169,False,
79239,False,
79282,True,1.0
79373,False,
79390,True,8.0
79404,False,
79465,True,9.0
79491,True,10.0
79568,False,
79579,False,
79613,False,
79703,False,
79800,True,9.0
79839,False,
79898,False,
79903,True,19.0
79933,False,
80017,False,
80039,True,6.0
80153,True,13.0
80162,True,4.0
80176,True,4.0
80271,False,
80281,False,
80286,False,
80374,False,
80476,True,11.0
80530,True,1.0
80594,False,
80700,True,1.0
80837,True,14.0
80845,True,6.0
80848,True,3.0
80979,True,3.0
81019,True,15.0
81083,False,
81167,True,11.0
81214,True,11.0
81302,False,
81391,True,6.0
81406,True,7.0
81582,False,
81714,True,10.0
81750,True,8.0
81825,True,1.0
81897,False,
81903,False,
81929,False,
81957,True,2.0
81982,True,12.0
81990,True,4.0
82116,False,
82129,False,
