div_type,ret_fwd_1,ret_fwd_3,ret_fwd_6,ret_fwd_12,ret_fwd_24
bearish,-0.004963705339020685,-0.0015720561514172005,-0.0025653592272224524,-0.00835242932104463,-0.022183768692984995
bearish,0.0017016947185413134,0.0008072898100259795,-0.0004500946755274793,0.007715470658833157,0.033626428016829024
bearish,0.0006204786146404295,0.005454525968440205,0.0012183718077081185,0.011899042488683342,0.026274494098402323
bearish,-0.0007109778111028531,0.001349707017689994,0.0029770113027298706,0.011697053514399203,0.013913188369574225
bearish,0.0015279184836265447,0.0039939759316409695,0.003887036560580537,0.002935181793419561,-0.028597448781681245
bearish,-0.0018374266708071074,-0.0008157283544845129,-0.009565799151090904,-0.01719662097903385,-0.049134526380780974
bearish,0.009092944752343346,0.010430969774572807,0.012238726985457138,0.00037298443896260913,-0.021892366853073053
bearish,-0.003414598608145636,-0.00350533057690261,-0.00486100096079678,-0.020777076317383902,-0.014038611069849272
bearish,0.001963828085660868,-0.00010066052545831816,0.02262075175498368,0.02201944255205701,0.02631734841977429
bearish,2.0260734323596097e-05,-0.003906125851568132,-0.0017473376548970965,-0.006974862108200863,0.0036800818923117262
bearish,-0.004968225279295635,-0.0049627117947518284,-0.0037503873278248445,-0.012983857535810772,-0.02139249717051961
bearish,0.0028631389377757888,-0.000315694342207129,0.0006871904884901969,-0.013882354741540093,0.033017383939614176
bearish,-0.0022313940006379873,0.0028675660127688296,0.0007279725108464419,-0.0026238787973119626,-0.0021649396056914183
bearish,0.0003978756050699861,-0.004037183351111029,-0.0047280590374314535,-0.014175023172913748,-0.013530410657317193
bearish,0.001032419653016703,0.004132616274108214,0.007055276975298286,0.001249108347332939,0.001914344324427164
bearish,-0.0009220114631295351,-0.008619680314738143,-0.006547352991682631,-0.003961400843294216,0.02590116024621225
bearish,0.005532954903487708,0.005307568613090341,-0.0011614640248368557,0.004336727164082177,0.013050816206483296
bearish,-0.010399662257247422,-0.010759943709541142,-0.015181491697157323,-0.010914742471151095,-0.01497886856177888
bearish,0.005504005158451175,0.0016043065371111886,0.002388130203960559,0.007692611298218077,0.01034479565404789
bearish,0.0009387069946400484,-0.004671580930962427,-0.007346651070361365,-0.025227210491258534,-0.00790048664645926
bearish,-0.002250289993140475,-0.005813249148946098,-0.0013847938419325745,-0.004494833091836958,-0.011900572079107996
bearish,0.00041213065597123233,0.001894317594343553,0.010112756411003287,0.016259256028048785,0.020608799139449685
bearish,0.004515214036731274,0.003339689812978497,0.0047162598374665965,0.007905799799715618,0.028133359535154723
bearish,0.009383781353193177,0.010715964308297465,0.01274217382140086,0.02006889903744824,0.014566171573104691
bearish,-0.001185871063390409,0.0005032069350772161,-0.0051762530978780585,-0.011046006953416843,-0.006092883970664542
bearish,0.0004829531075714044,0.0016500897842024465,0.01099797988227702,0.0034343332093969003,-0.001515936143210328
bearish,0.0012993299242010092,0.001070820164823516,0.0037080861820946165,-0.0018334516661224765,-0.011446431760425146
bearish,-0.0040136603260285675,-0.004882597097643049,-0.011765128034716188,-0.01681323689838099,-0.012211987734739638
bearish,-0.0008616321617632705,-0.002103921487260796,0.001250705100976246,-0.0005258964378841435,0.0030020593134008067
bearish,0.0015627038131240667,-0.004289428842517817,-0.002993351310108916,0.005268584682167621,0.01465553545335041
bearish,-0.00011410507829645589,-0.007493048441387429,-0.0028010888336017503,-0.007692105956388029,0.011485391482511265
bearish,0.0005672149744753163,0.0021270561542825472,0.0063273284174703015,0.006894543391945618,-0.0011173681225183918
bearish,0.001319957213359535,0.0018952682170385593,0.004743845133443836,0.00611459162711081,-0.004064202884921264
bearish,0.001306045897538466,-0.00036173269690442655,-0.0029284383002652348,-0.005237865028114186,-0.004994832939239968
bearish,0.004574069133276071,0.008603098305927093,0.010363232954121004,0.004849302968588098,0.008839448382722548
bearish,-0.0037926095255157444,0.005115597825337881,0.00736192170941119,0.006620432417347777,0.0099775367611592
bearish,-0.0034534574824911513,-0.007234282340945031,-0.005774545844849266,-0.007628733195588655,-0.002160088013524075
bearish,-0.0034620612457024746,-0.00230537565629918,0.003192878654620257,0.005364995602462619,-0.004991871218784194
bearish,8.483045837603953e-05,-0.002613838498713106,-0.005023553706958506,-0.010301598789045352,-0.0019272419762317305
bearish,-0.00021142030614706986,0.0009281867099133478,0.00296761917530608,-0.0006265260291915542,0.005192688982681437
bearish,-0.0023977782480989474,0.0009136851451314598,0.001285353678744272,0.004485832718187588,0.004036733240072143
bearish,0.00011256795650793627,-0.004083146786056924,-0.0037377678285897,-0.005802366485449406,-0.009192196993923929
bearish,-0.00477134409613833,-0.005848827527897282,-0.006903111555623065,-0.004959517039962336,-0.002709174848752771
bearish,0.005639026605608777,0.006158775814000483,0.009103180310083392,0.008469893653256566,0.014373840971880547
bearish,-0.00025377932146386506,0.00029358784247768277,0.004575491884037719,0.00390372309192788,-0.01805316427981407
bearish,-0.0006956945646958701,0.0026101241332383562,0.0028818004778456974,0.006540544520643454,-0.005948950237526285
bearish,0.00044922033623007174,-0.0014593316007471824,-0.002004994721026554,-0.007809327539998301,-0.023978721676277015
bearish,-0.0011779993128336885,4.908330470154709e-05,0.0005864163245905551,0.003738081152786066,-0.00029708316003485
bearish,-0.0001597843426808243,0.0003633805212577279,0.002074619288031876,0.001054061228329184,0.00279364883009503
bearish,-0.0014674383161016324,-0.0031743007785145494,-0.0015369485521274928,0.0017377559006466203,0.02038966923425467
bearish,0.0002283476617441771,0.004647117839539527,0.009427843353503995,0.016900156199517458,0.018700215958586286
bearish,-0.00046112677402410096,-0.000900750226979441,0.0013762125483824938,0.0039279399818417104,-0.004570650355999462
bearish,0.0015754487407135809,0.0003432142491115453,0.001067777663902536,-0.0035727649959601537,0.00926201786144154
bearish,0.001595345567471984,0.006007399184338125,0.01073189436634725,0.013700089235204382,0.02714691144411918
bearish,0.002241613036055412,-0.001272329380630044,-0.0019524472677304727,0.0025238388259407607,-0.0017627545237093312
bearish,0.0001824871631685987,-0.00036953650541637906,-0.003154746833277322,0.002002796615775626,-0.010942386521498038
bearish,-0.007221074403542804,-0.0058972484787316315,0.005053168017270959,0.005349614506416689,0.00492644280053689
bearish,0.000867095297795828,-0.0022280773502639795,-0.0006257388746980785,-0.013111464206618906,-0.01895765312165476
