peak_idx,confirm_idx,div_type,price_direction,indicator_direction
19235,19240,bullish,lower_low,higher_low
19257,19262,bullish,lower_low,higher_low
19332,19337,bullish,lower_low,higher_low
19498,19503,bullish,lower_low,higher_low
19605,19610,bullish,lower_low,higher_low
19655,19660,bullish,lower_low,higher_low
19881,19886,bullish,lower_low,higher_low
19934,19939,bullish,lower_low,higher_low
20170,20175,bullish,lower_low,higher_low
20237,20242,bullish,lower_low,higher_low
20417,20422,bullish,lower_low,higher_low
20440,20445,bullish,lower_low,higher_low
20464,20469,bullish,lower_low,higher_low
20505,20510,bullish,lower_low,higher_low
20749,20754,bullish,lower_low,higher_low
20768,20773,bullish,lower_low,higher_low
20984,20989,bullish,lower_low,higher_low
21238,21243,bullish,lower_low,higher_low
21308,21313,bullish,lower_low,higher_low
21323,21328,bullish,lower_low,higher_low
21366,21371,bullish,lower_low,higher_low
21531,21536,bullish,lower_low,higher_low
21664,21669,bullish,lower_low,higher_low
21710,21715,bullish,lower_low,higher_low
21723,21728,bullish,lower_low,higher_low
22102,22107,bullish,lower_low,higher_low
22533,22538,bullish,lower_low,higher_low
22576,22581,bullish,lower_low,higher_low
22651,22656,bullish,lower_low,higher_low
22840,22845,bullish,lower_low,higher_low
22925,22930,bullish,lower_low,higher_low
22990,22995,bullish,lower_low,higher_low
23003,23008,bullish,lower_low,higher_low
23333,23338,bullish,lower_low,higher_low
23416,23421,bullish,lower_low,higher_low
23426,23431,bullish,lower_low,higher_low
23822,23827,bullish,lower_low,higher_low
23833,23838,bullish,lower_low,higher_low
23876,23881,bullish,lower_low,higher_low
23908,23913,bullish,lower_low,higher_low
23998,24003,bullish,lower_low,higher_low
24066,24071,bullish,lower_low,higher_low
24114,24119,bullish,lower_low,higher_low
24180,24185,bullish,lower_low,higher_low
24271,24276,bullish,lower_low,higher_low
24361,24366,bullish,lower_low,higher_low
24371,24376,bullish,lower_low,higher_low
24476,24481,bullish,lower_low,higher_low
24501,24506,bullish,lower_low,higher_low
24554,24559,bullish,lower_low,higher_low
24567,24572,bullish,lower_low,higher_low
24738,24743,bullish,lower_low,higher_low
24798,24803,bullish,lower_low,higher_low
25044,25049,bullish,lower_low,higher_low
25117,25122,bullish,lower_low,higher_low
25129,25134,bullish,lower_low,higher_low
25425,25430,bullish,lower_low,higher_low
25447,25452,bullish,lower_low,higher_low
25562,25567,bullish,lower_low,higher_low
25572,25577,bullish,lower_low,higher_low
25722,25727,bullish,lower_low,higher_low
25822,25827,bullish,lower_low,higher_low
26034,26039,bullish,lower_low,higher_low
26045,26050,bullish,lower_low,higher_low
26055,26060,bullish,lower_low,higher_low
26095,26100,bullish,lower_low,higher_low
26184,26189,bullish,lower_low,higher_low
26194,26199,bullish,lower_low,higher_low
26204,26209,bullish,lower_low,higher_low
26318,26323,bullish,lower_low,higher_low
26343,26348,bullish,lower_low,higher_low
26386,26391,bullish,lower_low,higher_low
26415,26420,bullish,lower_low,higher_low
26436,26441,bullish,lower_low,higher_low
26451,26456,bullish,lower_low,higher_low
26825,26830,bullish,lower_low,higher_low
26836,26841,bullish,lower_low,higher_low
26917,26922,bullish,lower_low,higher_low
26998,27003,bullish,lower_low,higher_low
27132,27137,bullish,lower_low,higher_low
27273,27278,bullish,lower_low,higher_low
27454,27459,bullish,lower_low,higher_low
27521,27526,bullish,lower_low,higher_low
27574,27579,bullish,lower_low,higher_low
27602,27607,bullish,lower_low,higher_low
27662,27667,bullish,lower_low,higher_low
27687,27692,bullish,lower_low,higher_low
27746,27751,bullish,lower_low,higher_low
27821,27826,bullish,lower_low,higher_low
27849,27854,bullish,lower_low,higher_low
28190,28195,bullish,lower_low,higher_low
28221,28226,bullish,lower_low,higher_low
28420,28425,bullish,lower_low,higher_low
28511,28516,bullish,lower_low,higher_low
28612,28617,bullish,lower_low,higher_low
28626,28631,bullish,lower_low,higher_low
