feature,mean_worked,mean_failed,effect_size,t_stat,p_val,n_worked,n_failed
A_macd_15m,-9.444261889692909,-7.834558177613959,-0.06846709567406035,-0.3463005918403787,0.7302144835772991,55,21
A_signal_1d,-34.770502169018044,-28.977373918897953,-0.06805772000786277,-0.23093083764895697,0.8189962094841424,55,21
B_gap_1d,173.64524918338677,164.25084318669525,0.06647862722685982,0.23841280077812496,0.8130973905161819,55,21
B_roc_invalid,0.03636363636363636,0.047619047619047616,-0.057056758850453713,-0.20841613616080717,0.8362204454805247,55,21
B_zroc_extreme,0.03636363636363636,0.047619047619047616,-0.057056758850453713,-0.20841613616080717,0.8362204454805247,55,21
B_gap_acc_15m,-2.2549219403745653,-1.8757961050448233,-0.055023464838816254,-0.2622906956795904,0.7940297415799141,55,21
B_gap,-7.9541826470577774,-6.529268912917662,-0.05328018295892753,-0.2744756918558667,0.784543676785976,55,21
B_state_ord,1.4545454545454546,1.4285714285714286,0.05156040813959227,0.200178015166528,0.8424698164873365,55,21
A_signal_15m,-2.9669811213919424,-3.9684979388886115,0.04683345225491305,0.243868663277941,0.8080469085954446,55,21
B_zroc,0.5051210562990203,0.5688469435442878,-0.04152332379932977,-0.14024696956412702,0.8894562301978027,55,21
B_gap_norm_15m,-0.0003692100733302936,-0.00027529847606917344,-0.03446244309884612,-0.19380704783228295,0.8468594506943437,55,21
B_gap_acc_1h,7.6094436229801925,8.279814489022968,-0.03288609367207866,-0.1886288772838108,0.850909556632275,55,21
B_roc_slope,-6.617264177224827,97.22488558471241,-0.021978256127958787,-0.1369507793670609,0.8915431852079877,55,21
A_state_1h_ord,1.0909090909090908,1.0952380952380953,-0.014772256573341445,-0.056653207882793336,0.9551427960035057,55,21
B_gap_norm,-0.0003777843647055111,-0.00035638116495295284,-0.012859986544335192,-0.06871510566708411,0.9454058082729007,55,21
A_hist_sign,-1.0,-1.0,,,,55,21
A_hist_sign_15m,-1.0,-1.0,,,,55,21
B_roc_invalid_15m,0.0,0.0,,,,55,21
A_macd_zero_cross,0.0,0.0,,,,55,21
A_macd_zero_cross_15m,0.0,0.0,,,,55,21
A_hist_sign_1d,-1.0,-1.0,,,,55,21
A_hist_zero_cross_1h,0.0,0.0,,,,55,21
B_roc_invalid_1h,0.0,0.0,,,,55,21
A_hist_sign_1h,1.0,1.0,,,,55,21
B_zroc_extreme_1h,0.0,0.0,,,,55,21
A_hist_zero_cross_1d,0.0,0.0,,,,55,21
B_roc_invalid_1d,0.0,0.0,,,,55,21
