rule_id,A_5m,B_5m,A_15m,B_15m,A_1h,B_1h,A_1d,B_1d,n,frequency,mean_ret,hit_rate,t_stat,p_val_raw,p_val_bonf
37,True,False,True,False,False,True,False,False,889,0.015306473829201101,0.00047542187197064354,0.5658042744656918,1.4384589507046956,0.15030387657233069,1.0
38,False,True,True,False,False,True,False,False,300,0.005165289256198347,-0.00043534743737222214,0.5466666666666666,-0.6413161376371465,0.52131730654151,1.0
39,True,True,True,False,False,True,False,False,202,0.003477961432506887,0.00016160889662590838,0.5693069306930693,0.3379299330452525,0.7354159898142816,1.0
40,False,False,False,True,False,True,False,False,38,0.0006542699724517906,-0.0006027815886395987,0.5263157894736842,-1.3772093267215406,0.16844753909743648,1.0
41,True,False,False,True,False,True,False,False,324,0.005578512396694215,8.909809453102986e-06,0.5123456790123457,0.02027338922173373,0.9838252837482788,1.0
42,False,True,False,True,False,True,False,False,573,0.009865702479338843,0.0004234632478115184,0.5008726003490401,0.9794445812516066,0.3273603585069985,1.0
43,True,True,False,True,False,True,False,False,571,0.009831267217630854,-4.5620015332002995e-05,0.51138353765324,-0.12714597110948453,0.8988248670062191,1.0
44,False,False,True,True,False,True,False,False,277,0.004769283746556474,0.0005954199006560284,0.5884476534296029,0.7718643164165919,0.4401947937716535,1.0
45,True,False,True,True,False,True,False,False,925,0.015926308539944905,9.721857481431938e-05,0.4983783783783784,0.3018889560330524,0.7627367150268325,1.0
46,False,True,True,True,False,True,False,False,183,0.0031508264462809916,0.0008930848099670867,0.5519125683060109,1.8954358167825922,0.05803468736121126,1.0
47,True,True,True,True,False,True,False,False,127,0.0021866391184573,0.00011027189212310848,0.4645669291338583,0.3385694601400145,0.7349340924315783,1.0
48,False,False,False,False,True,True,False,False,1099,0.018922176308539946,-0.0002196053426438674,0.5250227479526842,-0.5661342470437463,0.5713025240038749,1.0
49,True,False,False,False,True,True,False,False,520,0.008953168044077135,-0.00014787450985123685,0.4576923076923077,-0.4982754506396752,0.6182899086018657,1.0
50,False,True,False,False,True,True,False,False,180,0.0030991735537190084,-0.00026602490252946773,0.4777777777777778,-0.37480437642515535,0.7078059592357167,1.0
51,True,True,False,False,True,True,False,False,244,0.004201101928374655,0.00042876137601624656,0.5737704918032787,1.0152395625223793,0.3099916460378713,1.0
52,False,False,True,False,True,True,False,False,381,0.0065599173553719005,0.0002560937804784102,0.5590551181102362,0.5047716484822464,0.6137192310517086,1.0
53,True,False,True,False,True,True,False,False,363,0.00625,-0.00028241221212043526,0.5785123966942148,-0.34906861242599063,0.7270377998829218,1.0
54,False,True,True,False,True,True,False,False,684,0.011776859504132231,9.717181566917712e-05,0.5131578947368421,0.18724296185005468,0.8514701417725592,1.0
55,True,True,True,False,True,True,False,False,619,0.01065771349862259,0.0001401157693024284,0.5589660743134087,0.31470143771023373,0.7529883525470471,1.0
56,False,False,False,True,True,True,False,False,940,0.01618457300275482,-0.00016577888369763611,0.551063829787234,-0.5695117653727134,0.5690088886268018,1.0
57,True,False,False,True,True,True,False,False,353,0.0060778236914600554,-0.0004340106683280502,0.5325779036827195,-0.9438725477654402,0.3452347820012326,1.0
58,False,True,False,True,True,True,False,False,147,0.00253099173553719,0.0005658352688992874,0.6462585034013606,0.8761305493837287,0.38095906677343017,1.0
59,True,True,False,True,True,True,False,False,317,0.005457988980716253,0.00047631922059057354,0.5299684542586751,0.9437925787806111,0.34527565368780355,1.0
60,False,False,True,True,True,True,False,False,309,0.005320247933884297,-0.00010744358041747958,0.5016181229773463,-0.5208005471446303,0.6025057219023746,1.0
61,True,False,True,True,True,True,False,False,50,0.0008608815426997245,-0.00042941840783532913,0.6,-0.5936098466429238,0.5527730936551739,1.0
62,False,True,True,True,True,True,False,False,497,0.008557162534435262,0.0003854614259521543,0.5070422535211268,0.7961053702756948,0.42597079303301955,1.0
63,True,True,True,True,True,True,False,False,497,0.008557162534435262,0.0003173291120930221,0.5835010060362174,0.6292554720839929,0.5291818177137466,1.0
64,False,False,False,False,False,False,True,False,211,0.0036329201101928375,0.0003524220234229436,0.5118483412322274,0.7786958969148097,0.43615887368648276,1.0
65,True,False,False,False,False,False,True,False,201,0.0034607438016528926,-0.00029244259167216565,0.4925373134328358,-0.6812577435769462,0.4957084161880746,1.0
66,False,True,False,False,False,False,True,False,309,0.005320247933884297,-0.00024071400538952793,0.48220064724919093,-0.6739685818720736,0.5003312883768735,1.0
67,True,True,False,False,False,False,True,False,269,0.004631542699724518,-0.0006075354771598422,0.43866171003717475,-1.369880511326178,0.17072420420863343,1.0
68,False,False,True,False,False,False,True,False,228,0.003925619834710744,-0.001005438845911852,0.4166666666666667,-2.04166272813715,0.0411849983450663,1.0
69,True,False,True,False,False,False,True,False,417,0.0071797520661157025,-0.0005622896405329635,0.47002398081534774,-1.2271258679090824,0.21977528667799162,1.0
70,False,True,True,False,False,False,True,False,184,0.0031680440771349864,0.002066668063433491,0.47282608695652173,1.0968910777041543,0.2726890095191673,1.0
71,True,True,True,False,False,False,True,False,141,0.002427685950413223,-0.002118655690268933,0.45390070921985815,-0.7746998922673438,0.43851701468815385,1.0
72,False,False,False,True,False,False,True,False,27,0.00046487603305785124,0.00022700881263724735,0.7407407407407407,1.5971834152951077,0.1102248284628117,1.0
73,True,False,False,True,False,False,True,False,110,0.001893939393939394,-0.00028144482199042765,0.5181818181818182,-0.2955033671580501,0.7676093805103844,1.0
74,False,True,False,True,False,False,True,False,269,0.004631542699724518,-0.00030402332717015365,0.5390334572490706,-0.7580333327031104,0.4484310282665014,1.0
75,True,True,False,True,False,False,True,False,266,0.004579889807162534,-0.00047851826049085365,0.40977443609022557,-1.108915733571202,0.26746653577278956,1.0
76,False,False,True,True,False,False,True,False,119,0.0020488980716253445,-0.0006475405238073114,0.44537815126050423,-0.6723450787970467,0.5013640379508859,1.0
77,True,False,True,True,False,False,True,False,306,0.005268595041322314,-0.0009087199288003925,0.39215686274509803,-2.099839624713228,0.035742951265140044,1.0
78,False,True,True,True,False,False,True,False,178,0.003064738292011019,0.00013863127724213204,0.5337078651685393,0.355601444552215,0.7221390616769825,1.0
79,True,True,True,True,False,False,True,False,120,0.002066115702479339,0.0007045069793135877,0.6166666666666667,1.2626443199937882,0.20671703259445184,1.0
80,False,False,False,False,True,False,True,False,216,0.00371900826446281,0.0006660993327222337,0.5694444444444444,1.4635985958467517,0.14330365645162574,1.0
81,True,False,False,False,True,False,True,False,128,0.0022038567493112946,0.00011446203709213152,0.5390625,0.3784294615814006,0.7051115854791214,1.0
82,False,True,False,False,True,False,True,False,5,8.608815426997245e-05,0.00011931918184553414,0.6,,,
83,True,True,False,False,True,False,True,False,59,0.0010158402203856748,-0.0003635045891550283,0.4067796610169492,-0.8482390637149718,0.39630484615192973,1.0
84,False,False,True,False,True,False,True,False,33,0.0005681818181818182,0.004988842594736033,0.6363636363636364,1.3853034853240804,0.1659596884661998,1.0
85,True,False,True,False,True,False,True,False,23,0.0003960055096418733,-3.4445101935060734e-05,0.43478260869565216,-0.0698987788911688,0.9442742250576354,1.0
86,False,True,True,False,True,False,True,False,83,0.0014290633608815427,0.0005765325760531119,0.6385542168674698,1.0072726310827798,0.31380377823873906,1.0
87,True,True,True,False,True,False,True,False,93,0.0016012396694214876,0.00010434488443858265,0.6236559139784946,0.2195325685130335,0.8262352125649688,1.0
88,False,False,False,True,True,False,True,False,227,0.003908402203856749,0.00018334436298306515,0.4669603524229075,0.4140507548707368,0.678836936619567,1.0
89,True,False,False,True,True,False,True,False,46,0.0007920110192837466,0.00043264294488707435,0.5,0.6667431239090489,0.5049362281116323,1.0
90,False,True,False,True,True,False,True,False,2,3.443526170798898e-05,,,,,
91,True,True,False,True,True,False,True,False,34,0.0005853994490358127,0.0007489883931984275,0.4411764705882353,0.5937986411991377,0.5526467979907139,1.0
92,False,False,True,True,True,False,True,False,100,0.001721763085399449,0.0003648555938898024,0.55,0.5125453290078019,0.6082694044707635,1.0
93,True,False,True,True,True,False,True,False,2,3.443526170798898e-05,,,,,
94,False,True,True,True,True,False,True,False,246,0.004235537190082644,-4.9399898529841425e-05,0.5691056910569106,-0.1936163661564112,0.8464762823480607,1.0
95,True,True,True,True,True,False,True,False,159,0.002737603305785124,0.0005945434369394188,0.5723270440251572,2.1066876379392903,0.03514466446675856,1.0
96,False,False,False,False,False,True,True,False,306,0.005268595041322314,0.0006244984914944935,0.6013071895424836,1.6259155358042967,0.10396762470183853,1.0
97,True,False,False,False,False,True,True,False,304,0.005234159779614325,0.00028266075340331636,0.5657894736842105,0.8242066760768938,0.40982213432558734,1.0
98,False,True,False,False,False,True,True,False,214,0.003684573002754821,0.0002604809281361807,0.5467289719626168,0.5568899075577005,0.5776026505480835,1.0
99,True,True,False,False,False,True,True,False,310,0.005337465564738292,0.0004934926110235296,0.6258064516129033,1.652745588756413,0.09838265198161619,1.0
100,False,False,True,False,False,True,True,False,95,0.0016356749311294766,0.0001710061547295945,0.5368421052631579,0.384495318290127,0.7006113651985418,1.0
101,True,False,True,False,False,True,True,False,299,0.005148071625344352,0.0003368522624800385,0.5986622073578596,0.6777924169882117,0.49790331971105894,1.0
102,False,True,True,False,False,True,True,False,74,0.0012741046831955922,0.00020310737858856258,0.527027027027027,0.7259051499485668,0.4678969191827145,1.0
103,True,True,True,False,False,True,True,False,162,0.0027892561983471073,-0.0005977638919315534,0.4876543209876543,-0.976467616276132,0.3288327881910307,1.0
104,False,False,False,True,False,True,True,False,40,0.0006887052341597796,0.0009893627740383188,0.575,0.5300168404054155,0.5961002547919165,1.0
105,True,False,False,True,False,True,True,False,34,0.0005853994490358127,0.0002596185077182407,0.47058823529411764,0.4159181533537315,0.6774698953390099,1.0
106,False,True,False,True,False,True,True,False,60,0.0010330578512396695,-0.00018173308888754606,0.38333333333333336,-0.15192762468866586,0.8792440198523066,1.0
107,True,True,False,True,False,True,True,False,70,0.0012052341597796144,-0.00042303309219315753,0.42857142857142855,-0.4314623076318834,0.6661322535826608,1.0
108,False,False,True,True,False,True,True,False,93,0.0016012396694214876,-0.0009433248757663017,0.5161290322580645,-1.2867164614157969,0.19819313332145816,1.0
109,True,False,True,True,False,True,True,False,110,0.001893939393939394,0.0005512656271275184,0.4727272727272727,0.4168468592418129,0.6767904250412242,1.0
110,False,True,True,True,False,True,True,False,170,0.0029269972451790634,-2.2943129115384502e-05,0.6764705882352942,-0.019091389091559312,0.9847682006891079,1.0
111,True,True,True,True,False,True,True,False,107,0.0018422865013774106,-0.0003412557595137611,0.308411214953271,-0.57900392477446,0.5625865249328451,1.0
112,False,False,False,False,True,True,True,False,358,0.006163911845730028,-0.00018129656488456705,0.5502793296089385,-0.5289128275855159,0.5968659230133203,1.0
113,True,False,False,False,True,True,True,False,262,0.004511019283746556,1.841468754107803e-05,0.42748091603053434,0.06071335866110425,0.9515874926353577,1.0
114,False,True,False,False,True,True,True,False,2,3.443526170798898e-05,,,,,
115,True,True,False,False,True,True,True,False,89,0.0015323691460055096,0.0007205059549588434,0.5955056179775281,1.2330136932674136,0.21757065539510367,1.0
116,False,False,True,False,True,True,True,False,8,0.0001377410468319559,0.0011862016651890128,1.0,,,
117,True,False,True,False,True,True,True,False,3,5.165289256198347e-05,,,,,
118,False,True,True,False,True,True,True,False,5,8.608815426997245e-05,-0.0006868886308696975,0.8,,,
119,True,True,True,False,True,True,True,False,53,0.000912534435261708,0.0006227425170797261,0.49056603773584906,0.5909252432695383,0.5545705113621513,1.0
120,False,False,False,True,True,True,True,False,654,0.011260330578512397,0.0004239150668186313,0.5795107033639144,1.4814268556799015,0.13849286273168265,1.0
121,True,False,False,True,True,True,True,False,211,0.0036329201101928375,0.0018940715027100142,0.6919431279620853,3.6905140973614583,0.00022380128471776074,0.05729312888774675
122,False,True,False,True,True,True,True,False,6,0.00010330578512396694,0.0027534967351974062,0.5,,,
123,True,True,False,True,True,True,True,False,83,0.0014290633608815427,0.0018546244250660067,0.6385542168674698,2.741132268095561,0.0061227854395817394,1.0
124,False,False,True,True,True,True,True,False,276,0.004752066115702479,0.00012444438367115697,0.6884057971014492,0.3962654299385208,0.6919092271901689,1.0
125,True,False,True,True,True,True,True,False,4,6.887052341597796e-05,,,,,
126,False,True,True,True,True,True,True,False,329,0.005664600550964187,5.040976474910986e-05,0.5896656534954408,0.24815902869935597,0.8040113653132807,1.0
127,True,True,True,True,True,True,True,False,348,0.005991735537190083,-0.00013176843658955684,0.6264367816091954,-0.13190849709048919,0.8950566676548737,1.0
128,False,False,False,False,False,False,False,True,24,0.00041322314049586776,0.0009342728709345929,0.6666666666666666,1.719653247910708,0.08549549088098161,1.0
129,True,False,False,False,False,False,False,True,60,0.0010330578512396695,0.00023950834011658614,0.5833333333333334,0.953603037847804,0.3402846174603902,1.0
130,False,True,False,False,False,False,False,True,178,0.003064738292011019,-0.00046172772464516326,0.38202247191011235,-1.4426116467502765,0.14912990064156498,1.0
131,True,True,False,False,False,False,False,True,182,0.003133608815426997,-0.00032711727574986444,0.44505494505494503,-0.8708105279766861,0.38385761588100176,1.0
132,False,False,True,False,False,False,False,True,269,0.004631542699724518,0.0005327836345926022,0.550185873605948,1.0164237323962222,0.3094276490217539,1.0
133,True,False,True,False,False,False,False,True,379,0.006525482093663912,0.0003063128731769941,0.633245382585752,0.9049829555931306,0.3654744169534708,1.0
134,False,True,True,False,False,False,False,True,127,0.0021866391184573,-0.000194673814669238,0.5196850393700787,-0.4399808366856655,0.6599509867888675,1.0
135,True,True,True,False,False,False,False,True,53,0.000912534435261708,0.00024303093595757922,0.5660377358490566,0.4911876500434775,0.6232937329682644,1.0
