bar_close,direction,followed_through,lag_bars
2022-02-05 13:15:00+05:30,1,False,
2022-02-09 14:15:00+05:30,-1,False,
2022-02-14 10:15:00+05:30,1,False,
2022-02-16 11:15:00+05:30,-1,False,
2022-02-21 15:15:00+05:30,1,False,
2022-03-09 13:15:00+05:30,-1,False,
2022-03-21 11:15:00+05:30,1,False,
2022-03-25 11:15:00+05:30,-1,False,
2022-03-29 13:15:00+05:30,1,False,
2022-04-06 14:15:00+05:30,-1,False,
2022-04-09 13:15:00+05:30,1,False,
2022-04-11 14:15:00+05:30,-1,False,
2022-04-20 12:15:00+05:30,1,False,
2022-04-21 15:15:00+05:30,-1,True,1.0
2022-04-22 15:15:00+05:30,1,False,
2022-04-27 10:15:00+05:30,-1,False,
2022-04-27 11:15:00+05:30,1,False,
2022-04-28 13:15:00+05:30,-1,False,
2022-05-02 14:15:00+05:30,1,False,
2022-05-17 10:15:00+05:30,-1,False,
2022-05-19 15:15:00+05:30,1,False,
2022-05-20 11:15:00+05:30,-1,False,
2022-05-26 12:15:00+05:30,1,False,
2022-05-26 14:15:00+05:30,-1,False,
2022-06-01 12:15:00+05:30,1,False,
2022-06-06 14:15:00+05:30,-1,False,
2022-06-13 14:15:00+05:30,1,True,1.0
2022-06-21 12:15:00+05:30,-1,False,
2022-07-01 14:15:00+05:30,1,False,
2022-07-04 12:15:00+05:30,-1,True,2.0
2022-07-07 14:15:00+05:30,1,False,
2022-07-13 10:15:00+05:30,-1,False,
2022-07-18 12:15:00+05:30,1,False,
2022-07-26 10:15:00+05:30,-1,False,
2022-07-28 11:15:00+05:30,1,False,
2022-08-05 10:15:00+05:30,-1,False,
2022-08-11 13:15:00+05:30,1,False,
2022-08-12 13:15:00+05:30,-1,False,
2022-08-16 11:15:00+05:30,1,True,4.0
2022-08-18 13:15:00+05:30,-1,False,
2022-09-01 10:15:00+05:30,1,False,
2022-09-02 10:15:00+05:30,-1,False,
2022-09-05 12:15:00+05:30,1,False,
2022-09-07 11:15:00+05:30,-1,False,
2022-09-08 12:15:00+05:30,1,False,
2022-09-15 12:15:00+05:30,-1,False,
2022-09-20 15:15:00+05:30,1,False,
2022-09-21 12:15:00+05:30,-1,True,3.0
2022-09-26 11:15:00+05:30,1,False,
2022-09-30 15:15:00+05:30,-1,False,
2022-10-12 10:15:00+05:30,1,False,
2022-10-14 11:15:00+05:30,-1,False,
2022-10-19 15:15:00+05:30,1,True,4.0
2022-11-03 14:15:00+05:30,-1,False,
2022-11-09 10:15:00+05:30,1,False,
2022-11-09 12:15:00+05:30,-1,False,
2022-11-09 14:15:00+05:30,1,False,
2022-11-10 10:15:00+05:30,-1,False,
2022-11-11 14:15:00+05:30,1,False,
2022-11-15 12:15:00+05:30,-1,False,
2022-11-16 12:15:00+05:30,1,False,
2022-11-17 11:15:00+05:30,-1,False,
2022-11-24 14:15:00+05:30,1,False,
2022-12-02 14:15:00+05:30,-1,False,
2022-12-14 11:15:00+05:30,1,False,
2022-12-15 12:15:00+05:30,-1,True,1.0
2022-12-20 10:15:00+05:30,1,False,
2022-12-27 14:15:00+05:30,-1,False,
2023-01-04 15:15:00+05:30,1,False,
2023-01-09 14:15:00+05:30,-1,False,
2023-01-10 14:15:00+05:30,1,False,
2023-01-13 14:15:00+05:30,-1,False,
2023-01-24 12:15:00+05:30,1,False,
2023-01-25 11:15:00+05:30,-1,False,
2023-01-27 14:15:00+05:30,1,False,
2023-02-01 12:15:00+05:30,-1,False,
2023-02-02 12:15:00+05:30,1,False,
2023-02-03 14:15:00+05:30,-1,False,
2023-02-13 15:15:00+05:30,1,False,
2023-02-14 11:15:00+05:30,-1,False,
2023-02-16 12:15:00+05:30,1,False,
2023-02-20 11:15:00+05:30,-1,False,
2023-02-23 14:15:00+05:30,1,False,
2023-03-02 10:15:00+05:30,-1,False,
2023-03-02 15:15:00+05:30,1,False,
2023-03-03 10:15:00+05:30,-1,False,
2023-03-10 11:15:00+05:30,1,False,
2023-03-21 12:15:00+05:30,-1,False,
2023-03-28 14:15:00+05:30,1,False,
2023-03-29 11:15:00+05:30,-1,False,
2023-04-06 12:15:00+05:30,1,False,
2023-04-17 11:15:00+05:30,-1,False,
2023-04-25 11:15:00+05:30,1,False,
2023-05-08 10:15:00+05:30,-1,False,
2023-05-08 13:15:00+05:30,1,False,
2023-05-10 12:15:00+05:30,-1,False,
2023-05-15 14:15:00+05:30,1,True,2.0
2023-05-16 12:15:00+05:30,-1,False,
2023-05-22 15:15:00+05:30,1,False,
2023-05-24 14:15:00+05:30,-1,False,
2023-05-26 13:15:00+05:30,1,False,
2023-05-31 14:15:00+05:30,-1,False,
2023-06-05 14:15:00+05:30,1,False,
2023-06-06 11:15:00+05:30,-1,False,
2023-06-07 13:15:00+05:30,1,False,
2023-06-09 11:15:00+05:30,-1,False,
2023-06-13 15:15:00+05:30,1,False,
2023-06-15 15:15:00+05:30,-1,False,
2023-06-16 15:15:00+05:30,1,False,
2023-06-19 15:15:00+05:30,-1,False,
2023-06-21 13:15:00+05:30,1,False,
2023-06-22 15:15:00+05:30,-1,False,
2023-06-28 10:15:00+05:30,1,False,
2023-07-07 15:15:00+05:30,-1,False,
2023-07-17 13:15:00+05:30,1,False,
2023-07-21 14:15:00+05:30,-1,False,
2023-08-07 11:15:00+05:30,1,False,
2023-08-08 10:15:00+05:30,-1,False,
2023-08-09 10:15:00+05:30,1,False,
2023-08-10 12:15:00+05:30,-1,False,
2023-08-11 10:15:00+05:30,1,False,
2023-08-21 14:15:00+05:30,-1,False,
2023-08-25 12:15:00+05:30,1,False,
2023-08-29 13:15:00+05:30,-1,False,
2023-08-31 14:15:00+05:30,1,False,
2023-09-01 14:15:00+05:30,-1,False,
2023-09-06 12:15:00+05:30,1,True,4.0
2023-09-20 10:15:00+05:30,-1,False,
2023-09-28 11:15:00+05:30,1,False,
2023-10-05 15:15:00+05:30,-1,False,
2023-10-13 12:15:00+05:30,1,False,
2023-10-18 14:15:00+05:30,-1,False,
2023-10-23 13:15:00+05:30,1,False,
2023-10-30 15:15:00+05:30,-1,False,
