bar_close,expansion_direction,lag_bars
2023-01-24 12:15:00+05:30,1,1
2023-01-24 13:15:00+05:30,1,1
2023-01-27 12:15:00+05:30,-1,10
2023-02-16 11:15:00+05:30,-1,10
2023-02-23 13:15:00+05:30,-1,10
2023-04-03 15:15:00+05:30,-1,1
2023-04-05 10:15:00+05:30,-1,1
2023-04-05 11:15:00+05:30,-1,1
2023-04-05 12:15:00+05:30,-1,1
2023-04-05 13:15:00+05:30,-1,1
2023-04-05 14:15:00+05:30,-1,1
2023-08-03 14:15:00+05:30,-1,1
2023-08-03 15:15:00+05:30,-1,1
2023-08-04 10:15:00+05:30,-1,1
2023-08-04 11:15:00+05:30,-1,1
2023-08-04 12:15:00+05:30,-1,1
2023-08-04 13:15:00+05:30,-1,1
2023-08-04 14:15:00+05:30,-1,1
2023-08-04 15:15:00+05:30,-1,1
2023-08-07 10:15:00+05:30,-1,1
2023-08-07 11:15:00+05:30,1,1
2023-08-07 12:15:00+05:30,1,1
2023-09-04 13:15:00+05:30,-1,1
2023-09-04 14:15:00+05:30,-1,1
2023-09-04 15:15:00+05:30,-1,1
2023-09-05 10:15:00+05:30,-1,1
2023-09-05 11:15:00+05:30,-1,1
2023-09-05 12:15:00+05:30,-1,1
2023-09-05 13:15:00+05:30,-1,1
2023-09-05 14:15:00+05:30,-1,1
2023-09-05 15:15:00+05:30,-1,1
2023-09-06 10:15:00+05:30,-1,1
2023-09-06 11:15:00+05:30,-1,1
2023-09-06 12:15:00+05:30,1,1
2023-10-12 15:15:00+05:30,-1,9
2023-10-13 10:15:00+05:30,-1,1
2023-10-13 11:15:00+05:30,-1,1
2023-10-13 12:15:00+05:30,1,1
2023-10-23 10:15:00+05:30,-1,10
2023-10-23 11:15:00+05:30,-1,1
2023-10-23 12:15:00+05:30,-1,1
2023-11-13 12:15:00+05:30,1,10
2024-01-23 12:15:00+05:30,-1,1
2024-01-23 13:15:00+05:30,-1,1
2024-01-23 14:15:00+05:30,-1,1
2024-01-23 15:15:00+05:30,-1,1
2024-01-24 10:15:00+05:30,-1,1
2024-01-24 11:15:00+05:30,-1,1
