bar_close,direction,followed_through,lag_bars
2021-05-26 15:30:00+05:30,-1,False,
2021-05-27 11:30:00+05:30,1,False,
2021-05-27 14:00:00+05:30,-1,False,
2021-05-28 09:45:00+05:30,1,False,
2021-05-31 09:30:00+05:30,-1,False,
2021-05-31 10:30:00+05:30,1,False,
2021-06-01 11:30:00+05:30,-1,False,
2021-06-03 09:30:00+05:30,1,True,4.0
2021-06-04 11:45:00+05:30,-1,False,
2021-06-07 10:45:00+05:30,1,False,
2021-06-07 13:00:00+05:30,-1,False,
2021-06-07 13:45:00+05:30,1,False,
2021-06-08 09:45:00+05:30,-1,True,2.0
2021-06-09 10:00:00+05:30,1,False,
2021-06-09 13:15:00+05:30,-1,False,
2021-06-10 14:15:00+05:30,1,False,
2021-06-14 09:30:00+05:30,-1,False,
2021-06-14 14:00:00+05:30,1,False,
2021-06-16 09:30:00+05:30,-1,True,2.0
2021-06-17 12:00:00+05:30,1,False,
2021-06-18 14:30:00+05:30,-1,False,
2021-06-21 11:00:00+05:30,1,False,
2021-06-21 11:15:00+05:30,-1,False,
2021-06-22 12:00:00+05:30,1,True,1.0
2021-06-22 15:30:00+05:30,-1,True,4.0
2021-06-24 12:45:00+05:30,1,False,
2021-06-28 11:15:00+05:30,-1,False,
2021-06-29 14:45:00+05:30,1,False,
2021-06-30 10:30:00+05:30,-1,False,
2021-06-30 13:45:00+05:30,1,False,
2021-06-30 14:30:00+05:30,-1,False,
2021-07-01 10:15:00+05:30,1,False,
2021-07-02 13:00:00+05:30,-1,False,
2021-07-05 13:15:00+05:30,1,False,
2021-07-06 15:15:00+05:30,-1,False,
2021-07-07 15:30:00+05:30,1,False,
2021-07-08 10:45:00+05:30,-1,True,3.0
2021-07-09 09:30:00+05:30,1,False,
2021-07-09 15:30:00+05:30,-1,False,
2021-07-12 14:15:00+05:30,1,False,
2021-07-13 10:00:00+05:30,-1,False,
2021-07-13 15:15:00+05:30,1,False,
2021-07-16 10:15:00+05:30,-1,False,
2021-07-19 14:45:00+05:30,1,False,
2021-07-20 14:15:00+05:30,-1,False,
2021-07-23 11:45:00+05:30,1,False,
2021-07-26 12:30:00+05:30,-1,False,
2021-07-27 11:00:00+05:30,1,False,
2021-07-27 11:15:00+05:30,-1,True,2.0
2021-07-28 09:30:00+05:30,1,False,
2021-07-28 14:00:00+05:30,-1,False,
2021-07-30 10:45:00+05:30,1,False,
2021-08-05 09:30:00+05:30,-1,False,
2021-08-05 14:15:00+05:30,1,False,
2021-08-05 15:00:00+05:30,-1,False,
2021-08-07 11:15:00+05:30,1,False,
2021-08-09 09:30:00+05:30,-1,False,
2021-08-10 11:15:00+05:30,1,False,
2021-08-11 14:00:00+05:30,-1,False,
2021-08-13 10:00:00+05:30,1,True,3.0
2021-08-16 15:30:00+05:30,-1,False,
2021-08-18 09:30:00+05:30,1,False,
2021-08-18 13:00:00+05:30,-1,True,4.0
2021-08-20 14:15:00+05:30,1,False,
2021-08-23 09:45:00+05:30,-1,False,
2021-08-23 11:30:00+05:30,1,False,
2021-08-23 12:15:00+05:30,-1,False,
2021-08-24 13:00:00+05:30,1,True,4.0
2021-08-25 14:45:00+05:30,-1,False,
2021-08-27 11:45:00+05:30,1,False,
2021-09-01 12:00:00+05:30,-1,False,
2021-09-02 14:45:00+05:30,1,False,
2021-09-03 11:45:00+05:30,-1,False,
2021-09-06 09:45:00+05:30,1,False,
2021-09-06 12:00:00+05:30,-1,False,
2021-09-07 13:45:00+05:30,1,False,
2021-09-07 14:30:00+05:30,-1,True,4.0
2021-09-13 13:15:00+05:30,1,False,
2021-09-14 14:00:00+05:30,-1,False,
2021-09-15 10:15:00+05:30,1,False,
2021-09-17 12:45:00+05:30,-1,False,
2021-09-21 11:00:00+05:30,1,False,
2021-09-21 14:00:00+05:30,-1,False,
2021-09-22 13:00:00+05:30,1,False,
2021-09-24 13:30:00+05:30,-1,False,
2021-09-29 10:00:00+05:30,1,False,
2021-09-29 14:00:00+05:30,-1,False,
2021-09-30 13:30:00+05:30,1,False,
2021-10-01 15:15:00+05:30,-1,False,
2021-10-05 10:15:00+05:30,1,False,
2021-10-06 13:45:00+05:30,-1,False,
2021-10-07 11:00:00+05:30,1,True,4.0
2021-10-07 15:15:00+05:30,-1,False,
2021-10-08 10:15:00+05:30,1,False,
2021-10-08 13:15:00+05:30,-1,False,
2021-10-08 14:30:00+05:30,1,False,
2021-10-11 15:00:00+05:30,-1,False,
2021-10-12 15:30:00+05:30,1,False,
2021-10-14 14:15:00+05:30,-1,False,
2021-10-14 15:15:00+05:30,1,False,
2021-10-18 14:45:00+05:30,-1,False,
2021-10-21 11:15:00+05:30,1,False,
2021-10-22 09:45:00+05:30,-1,False,
2021-10-22 12:45:00+05:30,1,False,
2021-10-25 11:45:00+05:30,-1,False,
2021-10-27 11:15:00+05:30,1,True,3.0
2021-10-27 15:00:00+05:30,-1,True,2.0
2021-10-28 12:30:00+05:30,1,False,
2021-11-01 10:30:00+05:30,-1,False,
2021-11-03 13:00:00+05:30,1,False,
2021-11-08 10:30:00+05:30,-1,True,4.0
2021-11-08 15:15:00+05:30,1,False,
2021-11-09 14:00:00+05:30,-1,False,
2021-11-10 14:15:00+05:30,1,True,3.0
2021-11-11 09:45:00+05:30,-1,False,
2021-11-11 12:30:00+05:30,1,False,
2021-11-12 09:45:00+05:30,-1,False,
2021-11-12 15:30:00+05:30,1,False,
2021-11-15 09:45:00+05:30,-1,False,
2021-11-16 12:30:00+05:30,1,False,
2021-11-17 14:45:00+05:30,-1,False,
2021-11-17 15:00:00+05:30,1,False,
2021-11-18 14:30:00+05:30,-1,False,
2021-11-22 09:45:00+05:30,1,True,4.0
2021-11-23 11:30:00+05:30,-1,False,
2021-11-24 15:30:00+05:30,1,False,
2021-11-25 11:45:00+05:30,-1,False,
2021-11-26 10:00:00+05:30,1,False,
2021-11-29 11:45:00+05:30,-1,False,
2021-11-30 13:00:00+05:30,1,False,
2021-11-30 13:15:00+05:30,-1,False,
2021-12-02 13:45:00+05:30,1,False,
2021-12-03 13:15:00+05:30,-1,False,
2021-12-06 12:30:00+05:30,1,True,2.0
2021-12-07 10:45:00+05:30,-1,True,4.0
2021-12-08 11:45:00+05:30,1,False,
2021-12-09 11:00:00+05:30,-1,False,
2021-12-09 12:30:00+05:30,1,False,
2021-12-09 15:00:00+05:30,-1,False,
2021-12-13 09:30:00+05:30,1,False,
2021-12-13 12:30:00+05:30,-1,False,
2021-12-14 12:30:00+05:30,1,True,1.0
2021-12-15 14:30:00+05:30,-1,False,
2021-12-16 12:45:00+05:30,1,False,
2021-12-16 13:30:00+05:30,-1,False,
2021-12-17 09:30:00+05:30,1,False,
2021-12-21 09:30:00+05:30,-1,False,
2021-12-23 12:00:00+05:30,1,False,
2021-12-24 10:15:00+05:30,-1,False,
2021-12-24 14:45:00+05:30,1,False,
2021-12-27 09:45:00+05:30,-1,False,
2021-12-27 12:00:00+05:30,1,False,
2021-12-29 11:30:00+05:30,-1,False,
2021-12-31 10:00:00+05:30,1,False,
2021-12-31 15:30:00+05:30,-1,False,
2022-01-03 09:30:00+05:30,1,True,3.0
2022-01-04 14:00:00+05:30,-1,False,
2022-01-04 15:15:00+05:30,1,False,
2022-01-05 15:30:00+05:30,-1,False,
2022-01-07 10:00:00+05:30,1,False,
2022-01-07 12:15:00+05:30,-1,False,
2022-01-10 09:45:00+05:30,1,False,
2022-01-11 15:00:00+05:30,-1,False,
2022-01-12 09:45:00+05:30,1,False,
2022-01-12 14:00:00+05:30,-1,False,
2022-01-13 09:45:00+05:30,1,False,
2022-01-13 10:30:00+05:30,-1,False,
2022-01-17 10:15:00+05:30,1,True,2.0
2022-01-17 13:45:00+05:30,-1,True,3.0
2022-01-19 12:00:00+05:30,1,False,
2022-01-21 13:00:00+05:30,-1,False,
2022-01-21 15:00:00+05:30,1,False,
2022-01-22 09:30:00+05:30,-1,False,
2022-01-24 10:00:00+05:30,1,False,
2022-01-25 12:30:00+05:30,-1,False,
2022-01-27 10:45:00+05:30,1,False,
2022-01-27 13:30:00+05:30,-1,False,
2022-01-28 15:15:00+05:30,1,False,
2022-01-31 09:45:00+05:30,-1,True,1.0
2022-01-31 14:15:00+05:30,1,False,
2022-02-01 14:00:00+05:30,-1,False,
2022-02-01 15:00:00+05:30,1,False,
2022-02-03 09:45:00+05:30,-1,False,
